List of blank sky regions for flat-fielding observations,,
Generated using TESELA,,
"For each hour of RA, look for field with the faintest ""brightest star in field"" in Vt&Bt  at dec = -32 15",,
Radius of field of view: 15 degrees,,
Minimium radius of the blankfield: 0.8 degrees,,
,,
,,
RA(hms),DEC(dms),Limit
00:27:03.3,-26:21:03.6,10
00:42:28.8,-35:07:22.1,10
01:40:24.7,-30:17:31.3,10
02:01:52.5,-36:27:08.6,9.5
02:55:51.0,-32:06:18.2,9.5
03:55:06.4,-30:56:41.6,9.5
04:54:30.5,-32:25:53.5,9.5
06:12:39.4,-33:06:08.6,9.0
07:10:14.5,-42:04:33.0,9.0
08:29:19.4,-22:11:15.3,9.0
09:03:25.9,-29:56:00.6,9.0
10:07:25.7,-34:08:32.0,9.0
11:04:21.3,-18:16:10.1,9.5
12:15:53.0,-38:05:23.1,9.5
13:00:15.3,-25:50:43.2,9.5
14:03:47.2,-19:01:30.7,9.5
15:33:36.0,-36:18:57.7,10
16:29:09.0,-20:00:07.4,11
17:35:42.8,-25:40:51.0,10
18:35:31.7,-32:03:37.5,9
19:02:24.8,-26:57:13.7,9
19:52:47.6,-33:43:39.9,9.5
21:00:16.3,-44:49:47.1,9.5
21:50:17.5,-31:31:06.7,10
23:10:23.4,-19:57:01.2,10
